Name,Cusine,Coordinates,Address,Address(Full)
Katsuya,Japanese; Asian Fusion,"(43.6598858, -79.3788947)",66 Gerrard Street E,"Katsuya, 66, Gerrard Street East, Downtown Yonge, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5B 1G7, Canada"
Hokkaido Ramen Santouka,Ramen; Noodles,"(43.656206, -79.378092)",91 Dundas Street E,"91, Dundas Street East, Garden District, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5B 2P5, Canada"
Dönerland,Kebab; Mediterranean; Halal,"(43.64576705, -79.4485819997892)",217 Roncesvalles Avenue,"217, Roncesvalles Avenue, Parkdale, Roncesvalles, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6R 2N1, Canada"
Olive + Lemon,Italian; Pizza; Seafood,"(43.8452512623755, -79.5570956086677)",3604 Major MacKenzie Dr W,"3604, Major MacKenzie Drive West, Vellore, Maple, Vaughan, York Region, Golden Horseshoe, Ontario, L4H 0A2, Canada"
Gyubee Japanese Grill - Bloor,Barbeque; Japanese; Steakhouses,"(43.6671324, -79.4006315)",335 Bloor Street W,"Regal Beagle Pub, 335, Bloor Street West, The Annex, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 1W7, Canada"
Dönerland,Mediterranean; Kebab; Halal,"(43.64576705, -79.4485819997892)",217 Roncesvalles Avenue,"217, Roncesvalles Avenue, Parkdale, Roncesvalles, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6R 2N1, Canada"
Eggspectation,Breakfast & Brunch; Juice Bars & Smoothies,"(43.6537966, -79.3824316857722)",483 Bay Street,"Bell Trinity Square, 483, Bay Street, Little Tokyo, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada"
Alo Restaurant,Bars; French,"(43.6485014, -79.3959394)",163 Spadina Avenue,"Alo, 163, Spadina Avenue, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2L6, Canada"
Frescos Fish & Chips,Fish & Chips; Chicken Wings; Sandwiches,"(43.6538317842105, -79.4015703)",201 Augusta Avenue,"201, Augusta Avenue, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 1H5, Canada"
Tinuno,Filipino,"(43.6711127, -79.3748501)",31 Howard Street,"31, Howard Street, St. James Town, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4Y 0A4, Canada"
GB Hand-pulled Noodles,Chinese; Noodles,"(43.656617, -79.3837293)",66 Edward Street,"GB Hand-Pulled Noodles, 66, Edward Street, Downtown Yonge, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5B 1R7, Canada"
CN Tower,Landmarks & Historical Buildings; Observatories,"(43.6425637, -79.3870871832047)",301 Front St W,"CN Tower, 301, Front Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2X3, Canada"
Bar Isabel,Spanish; Tapas Bars,"(43.6546689666667, -79.4207139666667)",797 College Street,"797, College Street, College Square, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, REVIVAL, Canada"
KINKA IZAKAYA ANNEX,Japanese; Tapas/Small Plates; Pubs,"(43.6651083, -79.410606)",559 Bloor St W,"Kinka Izakaya, 559, Bloor Street West, Mirvish Village, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 1Y3, Canada"
Wilbur Mexicana,Mexican,"(44.5775179, -75.7026455)",552 King Street W,"552, King Street West, Golf Side Gardens, Brockville, Eastern Ontario, Ontario, K6V 3N4, Canada"
Banh Mi Boys,Vietnamese; Asian Fusion,"(43.659165, -79.382002)",399 Yonge Street,"all leather, 399, Yonge Street, Downtown Yonge, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5G 2K2, Canada"
Dönerland,Kebab; Halal; Mediterranean,"(43.64576705, -79.4485819997892)",217 Roncesvalles Avenue,"217, Roncesvalles Avenue, Parkdale, Roncesvalles, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6R 2N1, Canada"
Juicy Dumpling,Dim Sum; Dumplings,"(43.6526555, -79.3983748)",280 Spadina Ave,"Juicy Dimpling, 280, Spadina Avenue, Chinatown, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2E4, Canada"
Ravi Soups,Sandwiches; Soup,"(43.6476139, -79.3919228)",322 Adelaide Street W,"Ravi Soup, 322, Adelaide Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Black Camel,Sandwiches,"(45.452002, -75.6764956880531)",4 Crescent Road,"4, Crescent Road, Manor Park, Rideau-Rockcliffe, Rockcliffe Park, Ottawa, Eastern Ontario, Ontario, K1M 1C1, Canada"
Adamson Barbecue,Barbeque,"(43.7123593846154, -79.3535780076923)",176 Wicksteed Avenue,"176, Wicksteed Avenue, Leaside Business Park, Don Valley West, East York, Toronto, Golden Horseshoe, Ontario, M4G 2G8, Canada"
Mystic Muffin,Sandwiches; Middle Eastern; Coffee & Tea,"(43.6524912, -79.3725733)",113 Jarvis Street,"Mystic Muffin, 113, Jarvis Street, King East, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5C 3H5, Canada"
Saku Sushi,Sushi Bars; Japanese,"(43.6480668, -79.4003043)",478 Queen Street W,"Saku, 478, Queen Street West, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2B4, Canada"
Beerbistro,Bistros; Beer Bar,"(43.6494252, -79.3772438)",18 King Street E,"Beer Bistro, 18, King Street East, King East, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5E 1K3, Canada"
Descendant Detroit Style Pizza,Pizza,"(43.6628959, -79.33242068)",1168 Queen Street E,"1168, Queen Street East, Leslieville, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 1L4, Canada"
BarChef,Lounges; Cocktail Bars,"(43.648094, -79.4001545)",472 Queen Street W,"BarChef, 472, Queen Street West, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2B4, Canada"
Emmas Country Kitchen,Breakfast & Brunch; Bakeries; Comfort Food,"(43.6808686, -79.4304237)",810 Saint Clair Avenue W,"Emma's Country Kitchen, 810, St. Clair Avenue West, Hillcrest Village, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6C 1B6, Canada"
Flame Food+Design,Turkish; Canadian (New),"(43.6512113, -79.4751539)",2197 Bloor Street W,"Flame Food + Design, 2197, Bloor Street West, Bloor West Village, Swansea, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Gyubee Japanese Grill - Bloor,Japanese; Barbeque; Steakhouses,"(43.6671324, -79.4006315)",335 Bloor Street W,"Regal Beagle Pub, 335, Bloor Street West, The Annex, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 1W7, Canada"
Olive + Lemon,Pizza; Seafood; Italian,"(43.8452512623755, -79.5570956086677)",3604 Major MacKenzie Dr W,"3604, Major MacKenzie Drive West, Vellore, Maple, Vaughan, York Region, Golden Horseshoe, Ontario, L4H 0A2, Canada"
Soma Chocolatemaker,Chocolatiers & Shops; Ice Cream & Frozen Yogurt; Desserts,"(43.6451865, -79.3957149)",443 King Street West,"SOMA chocolatemaker, 443, King Street West, Fashion District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1L8, Canada"
Sansotei,Ramen,"(43.7387473734912, -79.4021122460006)",650 Yonge Street,"650, Yonge Street, Hogg's Hollow, Don Valley West, North York, Toronto, Golden Horseshoe, Ontario, M4N 3R8, Canada"
The Keg Steakhouse + Bar - Mansion,Steakhouses; Bars; Seafood,"(43.66681385, -79.3778821002627)",515 Jarvis Street,"The Keg, 515, Jarvis Street, Church-Wellesley Village, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4Y 2G8, Canada"
AGO - Art Gallery of Ontario,Art Museums,"(43.65357425, -79.392764725972)",317 Dundas Street W,"Art Gallery of Ontario, 317, Dundas Street West, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 1G4, Canada"
Tsujiri,Tea Rooms; Ice Cream & Frozen Yogurt; Desserts,"(42.9835604285714, -81.2499425952381)",147 Dundas Street,"147, Dundas Street, Wortley Village, London, Southwestern Ontario, Ontario, N6A 1G2, Canada"
Tibet Kitchen,Himalayan/Nepalese,"(43.6401047, -79.4396675)",1544 Queen Street W,"Tibet Kitchen, 1544, Queen Street West, Parkdale, Roncesvalles, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6R 1A1, Canada"
Café Polonez,Polish,"(43.6451197, -79.4484135)",195 Roncesvalles Avenue,"Café Polonez, 195, Roncesvalles Avenue, Parkdale, Roncesvalles, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6R 2K3, Canada"
Beast Restaurant,Canadian (New); Breakfast & Brunch,"(43.6440878, -79.405647)",96 Tecumseth Street,"Beast Restaurant, 96, Tecumseth Street, King West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 2H1, Canada"
Lamesa Filipino Kitchen,Filipino,"(43.682215125, -79.42377215)",634 St Clair Avenue W,"634, St. Clair Avenue West, Hillcrest Village, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6C 1B3, Canada"
Royal Ontario Museum,Museums,"(43.66766165, -79.3946979735188)",100 Queen's Park,"Royal Ontario Museum, 100, Queen's Park, Bloor Street Culture Corridor, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 2C6, Canada"
Gyubee Japanese Grill - Dundas,Barbeque; Japanese,"(43.4741482589218, -79.7349969754881)",157 Dundas St W,"157, Dundas Street West, Trafalgar, Oakville, Halton Region, Golden Horseshoe, Ontario, L6M 4M2, Canada"
Aanch Modernistic Indian Cuisine,Indian,"(43.6446533, -79.3910439)",259 Wellington St W,"259 host ...a fine indian restaurant, 259, Wellington Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 3P6, Canada"
Ikkousha Ramen,Ramen,"(43.6502747, -79.3887654)",249 Queen Street W,"Ikkousha Ramen, 249, Queen Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Japango,Sushi Bars,"(43.6550998, -79.3852107)",122 Elizabeth Street,"Japango, 122, Elizabeth Street, First Chinatown, Spadina—Fort York, Toronto, Golden Horseshoe, Ontario, M5G 1P5, Canada"
Wow Sushi,Sushi Bars,"(43.9580978, -78.9568605)",11 Charles Street,"11, Charles Street, Brooklin, Whitby, Durham Region, Golden Horseshoe, Ontario, L1M 1A2, Canada"
Nadege,Desserts; Macarons; Patisserie/Cake Shop,"(43.6458348, -79.4114303)",780 Queen Street W,"Nadège Patisserie, 780, Queen Street West, West Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1E4, Canada"
Aloette,French; Bistros; Diners,"(43.6485014, -79.3959394)",163 Spadina Avenue,"Alo, 163, Spadina Avenue, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2L6, Canada"
Le Sélect Bistro,French; Coffee & Tea; Breakfast & Brunch,"(43.643826, -79.3968131)",432 Wellington Street W,"Le Sélect Bistro, 432, Wellington Street West, Fashion District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1E3, Canada"
Mira,Peruvian,"(43.64365, -79.39688475)",420A Wellington Street W,"420, Wellington Street West, Fashion District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1E3, Canada"
Salad King Restaurant,Thai,"(43.6577036, -79.3816976)",340 Yonge Street,"Salad King, 340, Yonge Street, Downtown Yonge, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5B 1R8, Canada"
Yuzu No Hana,Sushi Bars; Japanese,"(43.6483865, -79.3883322)",236 Adelaide Street W,"Yuzu No Hana, 236, Adelaide Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Hibiscus,Vegan; Vegetarian; Gluten-Free,"(43.6554098, -79.4026596)",238 Augusta Avenue,"Hibiscus Vegan Cafe, 238, Augusta Avenue, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2M1, Canada"
Olive + Lemon,Pizza; Italian; Seafood,"(43.8452512623755, -79.5570956086677)",3604 Major MacKenzie Dr W,"3604, Major MacKenzie Drive West, Vellore, Maple, Vaughan, York Region, Golden Horseshoe, Ontario, L4H 0A2, Canada"
Dönerland,Halal; Kebab; Mediterranean,"(43.64576705, -79.4485819997892)",217 Roncesvalles Avenue,"217, Roncesvalles Avenue, Parkdale, Roncesvalles, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6R 2N1, Canada"
Grand Electric,Bars; Mexican,"(43.6417457, -79.431558)",1330 Queen Street W,"Grand Electric, 1330, Queen Street West, Parkdale, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6K 1M1, Canada"
Sabai Sabai Kitchen and Bar,Laotian; Thai; Bars,"(43.6704347, -79.3847045)",81 Bloor Street E,"Firkin on Bloor, 81, Bloor Street East, Yorkville, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4W 1A9, Canada"
Bannock,Canadian (New); Sandwiches; Breakfast & Brunch,"(46.3814497, -81.3423834)",401 Bay Street,"401, Bay Street, Greater Sudbury, Sudbury District, Northeastern Ontario, Ontario, Canada"
Poke Guys,Hawaiian; Poke,"(43.5502560181818, -80.2389571090909)",112 Elizabeth Street,"112, Elizabeth Street, Guelph, Southwestern Ontario, Ontario, N1E 2Y1, Canada"
Evas Original Chimneys,Desserts; Bakeries; Ice Cream & Frozen Yogurt,"(43.6657132, -79.4091432)",454 Bloor Street W,"Sushi Coulture, 454, Bloor Street West, Mirvish Village, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 1Y5, Canada"
Bar Raval,Spanish; Tapas/Small Plates; Cocktail Bars,"(43.655877, -79.4099236)",505 College Street,"Bar Raval, 505, College Street, Little Italy, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 2J3, Canada"
Cluck Clucks,Chicken Shop; Comfort Food; Sandwiches,"(43.6495673, -79.3655213)",222 The Esplanade,"Royal Foodland, 222, The Esplanade, St. Lawrence, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 4J6, Canada"
Barque Smokehouse,Barbeque; Smokehouse,"(43.647964, -79.4495224)",299 Roncesvalles Avenue,"Barque Smokehouse, 299, Roncesvalles Avenue, Parkdale, Roncesvalles, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6R 2M3, Canada"
Ruby Watchco,Canadian (New),"(43.6591474, -79.3491056)",730 Queen Street E,"Ruby Watchco, 730, Queen Street East, Riverdale, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 1H4, Canada"
Nuit Social,Cocktail Bars; Modern European; Canadian (New),"(43.6429884, -79.4254178)",1168 Queen Street W,"Nuit Social, 1168, Queen Street West, Little Portugal, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1J5, Canada"
Gyubee Japanese Grill - Bloor,Barbeque; Steakhouses; Japanese,"(43.6671324, -79.4006315)",335 Bloor Street W,"Regal Beagle Pub, 335, Bloor Street West, The Annex, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 1W7, Canada"
The Carbon Bar,Barbeque; Bars; American (Traditional),"(44.6056469, -79.4110293)",99 Queen Street E,"99, Queen Street East, Orillia, Ontario, L3V 4S2, Canada"
La Bella Managua,Latin American; Nicaraguan,"(43.6622618, -79.4250007)",872 Bloor Street W,"La Bella Managua, 872, Bloor Street West, Bloorcourt Village, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 1M4, Canada"
Agio,Italian,"(43.6747648, -79.457764)",1351 St Clair Avenue W,"St. Clair Avenue West, Carleton Village, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Snakes & Lattes Annex,Bars; Cafes,"(43.6648266, -79.4132196)",600 Bloor Street W,"Snakes & Lattes, 600, Bloor Street West, Mirvish Village, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 1K4, Canada"
La Carnita,Mexican,"(43.6559114, -79.4097488)",501 College Street,"La Carnita, 501, College Street, Little Italy, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 1A5, Canada"
Sukhothai,Thai; Noodles,"(43.6584049117647, -79.3657763705882)",274 Parliament Street,"274, Parliament Street, Trefann Court, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 1Y1, Canada"
The Keg Steakhouse + Bar,Steakhouses; Bars; Seafood,"(43.6499749, -79.3840004553683)",165 York Street,"The Keg, 165, York Street, Financial District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Planta Yorkville,Tapas/Small Plates; Pizza; Cocktail Bars,"(43.6702374, -79.3894598)",1221 Bay Street,"Planta, 1221, Bay Street, Yorkville, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5R 2B1, Canada"
Pow Wow Cafe,Canadian (New); Cafes,"(43.6540972052632, -79.4016762)",213 Augusta Avenue,"213, Augusta Avenue, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 1H5, Canada"
Burrito Boyz,Mexican,"(43.6484573, -79.3880401)",224 Adelaide Street W,"Burrito Boys, 224, Adelaide Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Gyubee Japanese Grill - Bloor,Steakhouses; Japanese; Barbeque,"(43.6671324, -79.4006315)",335 Bloor Street W,"Regal Beagle Pub, 335, Bloor Street West, The Annex, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 1W7, Canada"
RYUS Noodle Bar,Ramen,"(43.6469498, -79.4046481)",669 Queen Street W,"669, Queen Street West, King West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1E3, Canada"
Momofuku Noodle Bar,Ramen; Noodles,"(43.6494704, -79.3863338)",190 University Avenue,"Momofuku, 190, University Avenue, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Hanmoto,Japanese; Asian Fusion,"(43.6496197, -79.4230815)",2 Lakeview Avenue,"Hanmoto, 2, Lakeview Avenue, Dufferin Grove, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1X4, Canada"
Ryus Noodle Bar,Ramen,"(43.6768992857143, -79.3590668571428)",786 Broadview Avenue,"786, Broadview Avenue, Danforth by the Valley, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4K 1N1, Canada"
The Haam,Japanese; Mexican; Sushi Bars,"(43.647336, -79.3932435)",342 Adelaide St W,"Zupa's Restaurant & Deli, 342, Adelaide Street West, Fashion District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1R7, Canada"
Swatow Restaurant,Chinese,"(43.6538024923077, -79.3980690076923)",309 Spadina Avenue,"309, Spadina Avenue, Chinatown, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 1H1, Canada"
FIKA,Coffee & Tea; Sandwiches; Desserts,"(43.7803226, -79.4211651)",28 Kensington Avenue,"28, Kensington Avenue, Newton Brook, North York, Willowdale, North York, Toronto, Ontario, M2N 6Z6, Canada"
The Burgers Priest,Burgers,"(43.648434, -79.397321)",463 Queen Street W,"The Burger's Priest, 463, Queen Street West, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2A9, Canada"
Moon Bean Coffee Company,Coffee & Tea; Coffee Roasteries,"(43.6542053, -79.4001807)",30 St. Andrew Street,"Moonbean, 30, St. Andrew Street, Chinatown, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 1K6, Canada"
Icha Tea,Coffee & Tea; Desserts,"(43.6513409, -79.3970085)",235 Spadina Avenue,"Big Trouble Pizza, 235, Spadina Avenue, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2C7, Canada"
Tofu Village - House of Soon Tofu,Korean,"(43.6638316, -79.4166442)",681 Bloor Street W,"Tofu Village - House of Soon Tofu, 681, Bloor Street West, Koreatown, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 4B9, Canada"
Gyubee Japanese Grill - Bloor,Japanese; Steakhouses; Barbeque,"(43.6671324, -79.4006315)",335 Bloor Street W,"Regal Beagle Pub, 335, Bloor Street West, The Annex, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 1W7, Canada"
White Brick Kitchen,Breakfast & Brunch; Comfort Food,"(43.6642046, -79.4149866)",641 Bloor Street W,"The White Brick Kitchen, 641, Bloor Street West, Mirvish Village, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 1K8, Canada"
Rustle & Still Café,Coffee & Tea; Vietnamese,"(43.6646207, -79.4130493)",605 Bloor Street W,"Hancook, 605, Bloor Street West, Mirvish Village, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 1K4, Canada"
Takht-e Tavoos,Persian/Iranian,"(43.6525565, -79.4331149)",1120 College Street,"Tavoos Restaurant, 1120, College Street, Little Portugal, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6H 1B5, Canada"
