Name,Cuisine,Coordinate
A&W (Aerowood Miss),Fast Food;American;Burgers,"(43.644016, -79.633697)"
A&W (Bathurst Street),Burgers;American;Fast Food,"(43.793143, -79.445221)"
A&W (Bloor & Islington),Burgers;Fast Food;American,"(43.645426, -79.52244)"
A&W (Broadview & Danforth),Burgers;Fast Food;Breakfast and Brunch,"(43.6759, -79.35884)"
A&W (Broadview & Gerrard),American;Burgers;Fast Food,"(43.665418, -79.352375)"
A&W (Central Park Missisauga),Burgers;American,"(43.576155, -79.646667)"
A&W (Church & Gerrard),American;Fast Food;Burgers,"(43.6603865, -79.3785829)"
A&W (College & Ossington),Fast Food;Burgers;Canadian,"(43.654661, -79.422586)"
A&W (Danforth & Greenwood),Burgers;American;Fast Food,"(43.681633, -79.332278)"
"A&W (Danforth Avenue, Toronto)",Burgers;American;Fast Food,"(43.679103, -79.344712)"
A&W (Dundas & Dixie),Burgers;American;Fast Food,"(43.603948, -79.589187)"
A&W (Dundas & Keele),Burgers;American;Fast Food,"(43.66552, -79.464832)"
A&W (Dupont St),American;Fast Food;Burgers,"(43.67142439999999, -79.42164640000001)"
A&W (East York),Fast Food;Burgers;American,"(43.7057953, -79.3460276)"
A&W (Eglinton & Brimley),American;Fast Food;Burgers,"(43.7368174, -79.2487043)"
A&W (Finch Avenue West),American;Fast Food;Burgers;Allergy Friendly,"(43.7676542, -79.4749394)"
A&W (Heartland),Burgers;American;Fast Food,"(43.609078, -79.693258)"
A&W (Keele and Sheppard),American;Fast Food;Burgers,"(43.7441839, -79.4868225)"
A&W (Malvern),Burgers;American;Sandwich,"(43.8093072, -79.2231245)"
A&W (Markham Rd),Burgers;American;Fast Food,"(43.761066, -79.22529)"
A&W (Mercer Toronto),American;Fast Food;Burgers,"(43.646024, -79.3896867)"
A&W (PC Avenue Rd),Burgers;American;Fast Food,"(43.704555, -79.407625)"
A&W (PC Eglinton),Burgers;American;Fast Food,"(43.726348, -79.296864)"
A&W (PC Goreway Bram),Burgers;American;Fast Food,"(43.752157, -79.684276)"
A&W (PC Hwy 27),Burgers;American;Fast Food,"(43.790748, -79.626875)"
A&W (PC Hwy 7 W),Burgers;American;Fast Food,"(43.788886, -79.546676)"
A&W (PC Hwy 7),Burgers;American;Fast Food,"(43.862183, -79.304078)"
A&W (PC Jarvis),Burgers;American;Fast Food,"(43.666638, -79.378028)"
A&W (PC Major Mackenzie West),Burgers;American;Fast Food,"(43.845646, -79.557433)"
A&W (PC Major Mackenzie),Burgers;American;Fast Food,"(43.857842, -79.499213)"
A&W (PC Morningside & Ellesmere),Burgers;American;Fast Food,"(43.78583, -79.194177)"
A&W (Queen St West),Fast Food;Burgers;American,"(43.649095, -79.39597)"
A&W (Rogers Rd),Burgers;American;Fast Food,"(43.68116539999999, -79.4728892)"
A&W (Sheppard Ave E),Burgers;American;Sandwiches,"(43.78079062550874, -79.29817512733626)"
A&W (Warden Ave Scarborough),Fast Food;American;Burgers,"(43.766556, -79.302237)"
A&W (Yonge & Eglinton),Fast Food;American;Burgers,"(43.706767, -79.3969736)"
A&W (York Mills Tor),Burgers;American;Fast Food,"(43.76068492794472, -79.32680415626761)"
AZTECA RESTAURANT,Mexican;Latin American,"(43.659808, -79.434654)"
Abby's Convenience,Grocery;Desserts,"(43.6469543, -79.4047521)"
Aburiyaki Sushi,Sushi;Asian;Japanese,"(43.8035434, -79.4195738)"
Adam's Halal Pub,American;Burgers;Southern;Desserts,"(43.736532, -79.308294)"
Adam's Shawarma,Middle Eastern;Lebanese;Halal,"(43.665903, -79.380458)"
Afghan Cuisine (Overlea),Afghan,"(43.7081, -79.3429)"
Afro Spice Chophouse,Rice-bowls;African;Indian Curry,"(43.7632339, -79.4991241)"
AiTaiker Taiwanese Fried Chicken,Asian;Wings;Chicken,"(43.8465781, -79.46005009999999)"
Aish Tanoor,Kosher;Middle Eastern,"(43.700322, -79.429517)"
Aji Sai Japanese Restaurant (Danforth Ave & Jones Ave),Japanese;Asian;Sushi,"(43.679352, -79.341659)"
Akita Sushi,Japanese;Asian;Sushi,"(43.7765664, -79.60321940000001)"
Al-Meezan Spicy Grill,Mediterranean;Vegetarian;Halal,"(43.7206204, -79.6130565)"
Aladin Grill,Halal;Chicken;Middle Eastern,"(43.65585979999999, -79.45563159999999)"
Alan's Filipino Restaurant,Filipino,"(43.75119, -79.263185)"
Alexandros Take Out (Queens Quay),Mediterranean;Greek;Fast Food,"(43.641442, -79.375176)"
Ali Baba's (2549 Yonge St),Middle Eastern;Mediterranean,"(43.71329, -79.399423)"
Allwyn's,Caribbean;Jamaican,"(43.7601, -79.4122)"
Allwyn's Bakery,Jamaican;Fast Food,"(43.623952, -79.514149)"
Aloha Poke,Hawaiian;Seafood;Japanese,"(43.8093967, -79.54726029999999)"
Amanecer Salvadoreno Restaurant,South American;Comfort Food;Vegetarian Friendly,"(43.738876, -79.565611)"
Amazing Shawarma,Middle Eastern;Salads;Halal;Burgers,"(43.752733, -79.26404099999999)"
Ambiyan Restaurant,Indian,"(43.866371, -79.311181)"
Ambiyan on Yonge,Indian;Vegetarian;Asian,"(43.6894573, -79.3950643)"
Ambrosia*,Salads;Vegan Friendly;Vegetarian Friendly;Mediterranean;Healthy,"(43.7187157, -79.4563123)"
Anatolian Pide House,Pizza;Salads;Comfort Food,"(43.656817, -79.407156)"
Anjappar Chettinad (Mississauga),Indian;South Indian,"(43.599605, -79.641946)"
Anjappar Chettinad (Scarborough),Indian;South Indian,"(43.741728, -79.22689)"
Aroma Espresso Bar (Woodbridge),Coffee and Tea;Breakfast and Brunch;Cafe;Desserts,"(43.7886011, -79.5482962)"
Asian Legend (Don Mills),Chinese;Asian;Asian Fusion,"(43.7269871, -79.3414943)"
Astoria Shish Kebob House (Dundas),Greek;Mediterranean,"(43.6210713, -79.5695629)"
Atithi Restaurant,Indian;North Indian;South Indian,"(43.77570499999999, -79.230481)"
Auleaf Cafe,Healthy;Juice and Smoothies;Kosher,"(43.718159, -79.429156)"
BC Wings,Wings;American;Fast Food,"(43.7323734, -79.4039085)"
BURNING FRIDAY,American;Comfort Food;Wings,"(43.8034326, -79.335554)"
Babajollof,African;Comfort Food;Nigerian,"(43.766284, -79.499444)"
BabuTakeOutCatering,Indian;Vegetarian;Asian,"(43.7916879, -79.2518987)"
Bagel Time (Bloor St W),Breakfast and Brunch;Sandwiches;Healthy,"(43.6490049, -79.48461630000001)"
Bagels on Fire,Bakery;Sandwich;Vegetarian Friendly,"(43.672963, -79.286812)"
Bake Code/ Chatime (Colossus),Desserts;Bakery;Asian;Bubble Tea;Coffee and Tea;Juice and Smoothies,"(43.7888768, -79.54482209999999)"
Bangali Sweets & Restaurant (Scarborough),Indian;Vegetarian;Asian;Desserts,"(43.8204248, -79.2618808)"
Banh Mi Boys - York,Vietnamese;Sandwich;Asian,"(43.7702124, -79.5005607)"
Bar B Q Tonite (Dundas/Hurontario),Indian;Pakistani;Halal,"(43.5794595, -79.6175073)"
Bar Bacan,Argentinian;South American;Mediterranean;Pasta,"(43.650098, -79.45022089999999)"
Bar Burrito (2575 St Clair Ave),Mexican;Latin American;New Mexican,"(43.6673911, -79.4889117)"
BarBQ Factory,BBQ;American;Burgers,"(43.6486948, -79.37198459999999)"
BarBurrito (165 North Queen St),Mexican,"(43.6183959, -79.55419750000001)"
BarBurrito (Pickering),Mexican;Tex Mex;Fast Food,"(43.8381135, -79.08906879999999)"
BarBurrito (Woodbridge),Mexican;Fast Food,"(43.785639, -79.625208)"
BarBurrito Mexican Fresh Grill,Mexican;Fast Food,"(43.8939962, -79.4405793)"
Barburrito (Burnhamthorpe & East Mall),Healthy;Sandwich;Mexican,"(43.645826, -79.559892)"
Barburrito (Hurontario & Bristol),Healthy;Sandwich,"(43.613777, -79.661867)"
Barburrito (Major MacKenzie & Vellore Park),Sandwich,"(43.84605, -79.556437)"
Barburrito (Mavis),Mexican;Sandwich,"(43.592095, -79.666678)"
Barburrito (Queen & Dixie),Mexican;Fast Food,"(43.715127, -79.726767)"
Barque Smokehouse,Best of Toronto;BBQ;Canadian,"(43.64801, -79.449659)"
Basil Box (York U),Healthy;Gluten Free;Vietnamese;Thai,"(43.76987, -79.502041)"
Bawarchi Indian Cuisine,Indian;Indian Curry;South Indian,"(43.768572, -79.28116279999999)"
Beast's Poutine & Wings (Don Mills),Wings;American;Fast Food,"(43.7483048, -79.3485798)"
Beer N Wings Sports Grill,Bar Food;Wings,"(43.643094, -79.534364)"
Beiteddine Lebanese Restaurant,Middle Eastern;Salads;Sandwich,"(43.6780471, -79.34870850000001)"
Bella's Lechon,Asian;Filipino,"(43.8014026, -79.19853309999999)"
Belle Restaurant,Mediterranean,"(43.774335, -79.442299)"
Betta Jerk,Caribbean;Jamaican;Chicken,"(43.739593, -79.699364)"
Big Bone BBQ & Wicked Wings Maple (Keele & Major MacKenzie),BBQ;Canadian,"(43.855752, -79.513489)"
Big Boy's Burrito,Mexican;Tex Mex,"(43.6810919, -79.2836473)"
Big Slice (St. Clair & Dufferin),Pizza;Italian,"(43.6782843, -79.4424619)"
Bihari Kabab House,Indian;Indian Curry;Vegan,"(43.8009018, -79.1984117)"
Blondies Pizza,Italian;Fast Food;Pizza,"(43.666873, -79.330274)"
Blue Elephant,Thai;Asian;Asian Fusion,"(43.6657206, -79.47430279999999)"
Blue River Pizza & More,Pizza;American;Italian,"(43.6803905, -79.3112356)"
Bocados Bake Shop (Queen St. W),Desserts;Pastry;Comfort Food,"(43.64528139999999, -79.4127336)"
Bombay Zone (427 Kennedy Rd),Indian;Vegetarian;Asian,"(43.7163714, -79.2609691)"
Bombay Zone Street Food,Indian;South Asian,"(43.776427, -79.234834)"
Boneyard Grill (Vaughan),Burgers;BBQ,"(43.810802, -79.454403)"
Booster Juice (4525 Kingston Road),Healthy;Juice Bars;Sandwich,"(43.7714831, -79.18449199999999)"
Booster Juice (80 Courtneypark Drive East),Juice and Smoothies;Breakfast and Brunch;Vegetarian,"(43.6372532, -79.69129319999999)"
Boston Pizza (Carlson Ct & Attwell Dr),Pizza;Burgers;Wings,"(43.688971, -79.585218)"
Boston Pizza (Morningside & Sheppard),Burgers;Pizza;Comfort Food,"(43.796498256687116, -79.20412364211167)"
Bourbon St. Grill (Queensway),Chinese;Asian;Asian Fusion,"(43.6132691, -79.5587279)"
Bourbon St. Grill (Vaughan Mills),Chinese;Asian;Fast Food,"(43.825638, -79.538215)"
Bourbon St. Grill (Woodbine),Burgers;American;Sandwiches,"(43.7206319, -79.6000253)"
Box Convenience,Comfort Food;Street Food;Desserts,"(43.79529489999999, -79.42823539999999)"
Brasil Stone Grill,Brazilian;South American;Portuguese,"(43.6933719, -79.46132949999999)"
Breakfast Room,Breakfast and Brunch;Sandwich,"(43.618801, -79.499673)"
Brigantino's (Queen St.),Italian,"(43.645741, -79.410467)"
Bubby's New York Bagels,Kosher;Breakfast and Brunch,"(43.718317, -79.429265)"
Burger King #1024 (100 Eglinton Square),American;burger;Comfort Food;Fast Food;Sandwich,"(43.725089, -79.29803299999999)"
Burger King #11980 (1560 The Queensway),American;burger;Comfort Food;Fast Food;Sandwich,"(43.6184337, -79.539704)"
Burger King #12099 (267 College Street),American;burger;Comfort Food;Fast Food;Sandwich,"(43.6576683, -79.3996063)"
Burger King #12100 (3003 Danforth Avenue),American;burger;Comfort Food;Fast Food;Sandwich,"(43.68967929999999, -79.2906429)"
Burger King #12109 (1615 Wilson Avenue),American;burger;Comfort Food;Fast Food;Sandwich,"(43.7199973, -79.5116884)"
Burger King #12824 (6630 Finch Avenue West),American;burger;Comfort Food;Fast Food;Sandwich,"(43.73486380000001, -79.6044284)"
Burger King #12988 (23 Jacob Keffer Parkway),American;burger;Comfort Food;Fast Food;Sandwich,"(43.8366395, -79.50489429999999)"
Burger King #12989 (1077 Wilson Ave.),American;burger;Comfort Food;Fast Food;Sandwich,"(43.7265166, -79.4803756)"
Burger King #12990 (Steeple Hill Shopping Centre),American;burger;Comfort Food;Fast Food;Sandwich,"(43.81801919999999, -79.1180129)"
Burger King #13329 (7560 Weston Road),American;burger;Comfort Food;Fast Food;Sandwich,"(43.78667189999999, -79.5472692)"
Burger King #13330 (Cedarbrae Mall),American;burger;Comfort Food;Fast Food;Sandwich,"(43.75789049999999, -79.2274204)"
Burger King #13729 (1607 Birchmount Road),American;burger;Comfort Food;Fast Food;Sandwich,"(43.7638262, -79.2912)"
Burger King #14733 (6010 Dixie Road),American;burger;Comfort Food;Fast Food;Sandwich,"(43.6554104, -79.64832539999999)"
Burger King #22087 (1022 Eglinton Avenue East),American;burger;Comfort Food;Fast Food;Sandwich,"(43.6277866, -79.62873929999999)"
Burger King #25768 (2 Beaumaris Drive),American;burger;Comfort Food;Fast Food;Sandwich,"(43.7645787, -79.66105019999999)"
"Burger King #2666 (4141 Dixie Road, Rockwood Mall)",American;burger;Comfort Food;Fast Food;Sandwich,"(43.625224, -79.6040702)"
Burger King #3187 (2372 Finch Avenue West),American;burger;Comfort Food;Fast Food;Sandwich,"(43.7519237, -79.5454895)"
Burger King #5516 (5645 Hurontario Street),American;burger;Comfort Food;Fast Food;Sandwich,"(43.6190832, -79.66885440000001)"
Burger King #709 (940 Lawrence Avenue West),American;burger;Comfort Food;Fast Food;Sandwich,"(43.7142022, -79.45640159999999)"
Burger King #994 (1490 Dixie Road),American;burger;Comfort Food;Fast Food;Sandwich,"(43.593872, -79.5653674)"
Burger King #999 (2571 Lawrence Avenue East),American;burger;Comfort Food;Fast Food;Sandwich,"(43.7510345, -79.26553659999999)"
Burger St.,Burgers;American;Sandwiches,"(43.7694212, -79.184524)"
Burger's Priest (507 Danforth Ave),Canadian;Burgers;Comfort Food,"(43.677971, -79.3489099)"
Burger's Priest (Beaches),Best of Toronto;Burgers;Canadian,"(43.666829, -79.315642)"
Burger's Priest (Dufferin),Burgers,"(43.720858, -79.456691)"
Burger's Priest (Hurontario),Burgers;American;Comfort Food,"(43.607426, -79.653039)"
Burger's Priest (Lakeshore),Burgers;Canadian,"(43.554471, -79.582323)"
Burger's Priest (Queen & Dovercourt),American;Canadian;Burgers;Comfort Food,"(43.643452, -79.4234321)"
Burger's Priest (Queensway),Burgers;Comfort Food,"(43.61703, -79.542829)"
Burger's Priest (Weston),Burgers;Comfort Food,"(43.792204, -79.547262)"
Burger's Priest (Yonge),Burgers;Best of Toronto,"(43.732551, -79.403931)"
Burger's Priest (York Mills),Canadian;Burgers;Fast Food,"(43.7550068, -79.3517913)"
Burger's Priest for Groups (Queensway),Burgers,"(43.61703, -79.542829)"
Burrito Bandidos (Beach),Mexican;Tex Mex,"(43.666367, -79.316476)"
Burrito Boss,Mexican;New Mexican;Fast Food,"(43.706799, -79.443238)"
Burrito Boyz (Queen),Mexican,"(43.638797, -79.445918)"
Burrito Zone (427 Kennedy Rd),Mexican;Tex Mex,"(43.7163316, -79.2609253)"
Butter Chicken Gourmet,Indian;Vegetarian;Asian,"(43.65586, -79.455632)"
Butter Chicken Roti,Indian;Halal,"(43.643677, -79.421596)"
Butter Chicken Roti (1030 Bloor St W),Indian;Asian;North Indian;Halal,"(43.6606886, -79.4315503)"
Butter Chicken Roti (1610 Queen St E),Indian;Indian Curry;North Indian;Halal,"(43.6663973, -79.3168252)"
Butter Chicken Roti (201 King St E),Indian;Chicken;Seafood,"(43.6508808, -79.3695486)"
By The Case,Grocery;Comfort Food;Desserts,"(43.6561089, -79.3901691)"
B’s Sizzling Kitchen,Asian;Salads;Filipino,"(43.58284, -79.614143)"
CHICK N JOY (Kingston Rd),Chicken;Fast Food;Sandwich,"(43.768674, -79.187904)"
Cacao 70 (Distillery District),Breakfast and Brunch;American;Sandwiches,"(43.6501568, -79.36062729999999)"
Cacao 70 (Queen Street W.),Desserts;Vegetarian;Coffee and Tea,"(43.6481874, -79.39796910000001)"
Cafe DM,Cafe,"(43.662648, -79.3100073)"
Cafe Diplomatico,Cafe;Italian,"(43.655464, -79.413803)"
Cafe668,Asian Fusion;Vegetarian;Vegan;Cafe,"(43.6509844, -79.411692)"
Café Daily,Korean;Desserts;Coffee and Tea,"(43.7783502, -79.41484700000001)"
Cali Mexican Grill,Mexican,"(43.72, -79.456519)"
California Sandwiches,American;Italian;Sandwich,"(43.75604440000001, -79.4739679)"
California Sandwiches (Bathurst & Dundas),American;Italian;Sandwich,"(43.652543, -79.412428)"
California Sandwiches (Dixie Rd),Sandwich;Comfort Food;Italian,"(43.654063, -79.646725)"
California Sandwiches (Dufferin),Best of Toronto;Sandwich,"(43.700538, -79.451999)"
California Sandwiches (Maple),Sandwich;Italian,"(43.834797, -79.521154)"
California Sandwiches (The Queensway),American;Italian;Sandwich,"(43.616591, -79.543088)"
California Sandwiches (Warden),Sandwich;Italian,"(43.726222, -79.287507)"
Calii Love,Healthy;Juice and Smoothies,"(43.645683, -79.392693)"
Canadian Jerk (Wexford),African;Comfort Food;Steak,"(43.7447453, -79.29595119999999)"
Cancio Bros. Italian Bakery,Comfort Food;Fast Food;Canadian,"(43.65381929999999, -79.40149819999999)"
Carmelina,Mediterranean;Italian,"(43.826679, -79.350906)"
Cavallino Wine Bar,Italian;Pasta;Comfort Food,"(43.7887263, -79.5862424)"
Cento40 Trattoria,Italian;Pizza,"(43.785762, -79.593362)"
Centro Cafe,Pizza;Salads;Pasta;Kosher,"(43.8063529, -79.4525498)"
Centro Pizza,Pizza;Wings;Fast Food,"(43.73669350000001, -79.220068)"
Cha Me. Cha 茶米茶 (Markham),Bubble Tea;Coffee and Tea;Juice and Smoothies;Noodles;Desserts,"(43.8567815, -79.3039721)"
Chaat Falooda and Paan,Indian;Vegetarian;Asian,"(43.62435290000001, -79.5883628)"
Champion Doner,Middle Eastern;Mediterranean,"(43.851563, -79.534796)"
Charlie's Caribbean Cuisine,Caribbean;Seafood;Latin American,"(43.5815515, -79.6175495)"
Chaska,Indian;Vegetarian Friendly;Halal,"(43.654981, -79.606902)"
Chat Hut,Indian;Fast Food,"(43.70577, -79.64587)"
Chatime (Don Mills),Asian;Bubble Tea;Desserts;Coffee and Tea;Bakery;Juice and Smoothies,"(43.735617, -79.347584)"
Chatime (Major Mackenzie and Dufferin),Asian;Desserts;Juice and Smoothies;Bubble Tea;Coffee and Tea;Bakery,"(43.8622041, -79.4844718)"
Chatime (Midland),Bubble Tea;Desserts;Asian;Coffee and Tea;Bakery;Juice and Smoothies,"(43.8047787, -79.28848219999999)"
Chatime (Rutherford),Bubble Tea;Juice and Smoothies;Asian;Coffee and Tea;Bakery;Desserts,"(43.82809452577097, -79.53703355787502)"
Chatime (Stockyards),Bubble Tea;Asian;Desserts;Coffee and Tea;Bakery;Juice and Smoothies,"(43.674043, -79.470563)"
Chatime (UTSC),Bubble Tea;Juice and Smoothies;Asian;Desserts;Coffee and Tea,"(43.7838827, -79.1865988)"
Chatime (Yonge),Bubble Tea;Desserts;Asian;Coffee and Tea;Bakery;Juice and Smoothies,"(43.77842, -79.415792)"
Chauhan's Indian Express Take out & Catering,Indian;Vegetarian;Asian,"(43.79535509999999, -79.3198814)"
Chawk Bazar (South Asian Eatery),Asian;Asian Fusion;Korean,"(43.7427984, -79.3084494)"
Chengdu Guokui 成都锅盔,Chinese;Asian;Asian Fusion,"(43.76041550000001, -79.4112158)"
Chi mac,Korean;Fried Chicken,"(43.6066049, -79.5850135)"
Chiang Mai Kitchen and Bar,Thai;Asian;Asian Fusion,"(43.6244696, -79.484876)"
Chica's Chicken,American;Fast Food;Southern,"(43.665176, -79.464258)"
Chick Fiesta,Portuguese;Halal,"(43.761621, -79.22571)"
Chicken Kitchen (2086 Lawrence Ave E),Halal;Chicken;Middle Eastern,"(43.7462956, -79.2931406)"
Chicken Nest,Kosher;Sandwich;BBQ,"(43.71855700329495, -79.42986691864178)"
Chicken Wings & More,Pizza;American;Italian,"(43.6243529, -79.5883628)"
Chicken Wings and More,Wings;American;Fast Food,"(43.7478296, -79.52341299999999)"
China Sea,Chinese;Asian;Asian Fusion,"(43.7034114, -79.643733)"
Chinese Dumpling House (Mississauga),Chinese;Asian;Asian Fusion,"(43.568246, -79.665494)"
Chinese Dumplings,Chinese;Cantonese,"(43.681749, -79.42423)"
Chinese Food Gallery,Chinese;Asian Fusion;Asian,"(43.644014, -79.53358)"
Chinese Gourmet Express,Chinese;Asian;Cantonese,"(43.693314, -79.557283)"
Chips Ahoy Fish and Chips,European;Modern European;Seafood,"(43.6538341, -79.40154840000001)"
Church's Chicken (3003 Danforth Ave),Comfort Food;American;Wings,"(43.6896793, -79.2906429)"
Church's Chicken (Lawrence Ave & Markham Rd),Chicken;Fast Food,"(43.759224, -79.227237)"
Cineplex Cinemas Midtown Toronto,American;Fast Food,"(43.685006982944195, -79.39239552375756)"
Cineplex Cinemas Queensway and VIP,Fast Food;American,"(43.623095, -79.516756)"
Cineplex Odeon Morningside Cinemas,Fast Food;American,"(43.798651, -79.202242)"
Cinnabon (Lawrence Ave E),Desserts;Vegetarian;Coffee and Tea,"(43.7447453, -79.29595119999999)"
Cluck Clucks,Sandwich;Comfort Food,"(43.649577, -79.365212)"
CoCo Fresh Tea & Juice (1177 Central Parkway),Asian;Bubble Tea,"(43.567673, -79.6608071)"
CoCo Fresh Tea & Juice (2352 Yonge Street),Bubble Tea;Asian;Taiwanese,"(43.7085199, -79.3989279)"
CoCo Fresh Tea & Juice (30 Eglinton Ave W),Asian;Bubble Tea,"(43.6056743, -79.6527543)"
CoCo Fresh Tea & Juice (3300 Midland Ave),Bubble Tea;Asian,"(43.8067504, -79.2888581)"
CoCo Fresh Tea & Juice (890 Don Mills Rd),Bubble Tea;Coffee and Tea;Asian,"(43.7258674, -79.34051529999999)"
CoCo Fresh Tea & Juice (9555 Yonge St),Asian;Bubble Tea,"(43.8594105, -79.43332099999999)"
CoCo Fresh Tea & Juice (Brampton),Asian;Desserts;Juice and Smoothies,"(43.7154601, -79.72169819999999)"
CoCo Fresh Tea & Juice (Ellesmere),Asian;Desserts;Juice and Smoothies,"(43.7574406, -79.31254849999999)"
CoCo Fresh Tea & Juice (Keele St),Asian;Desserts;Juice and Smoothies,"(43.7738289, -79.49209479999999)"
CoCo Fresh Tea & Juice (Metro Square),Bubble Tea;Asian,"(43.8189308, -79.3306248)"
CoCo Fresh Tea & Juice (North York),Bubble Tea;Asian,"(43.7792036, -79.4171947)"
CoCo Fresh Tea & Juice (Unionville),Asian;Bubble Tea,"(43.8593407, -79.30470179999999)"
Coffee Box,Coffee and Tea;American;Breakfast and Brunch;Desserts,"(43.803492, -79.4209027)"
Coffee Time (8520 Jane St),Coffee and Tea;American;Breakfast and Brunch,"(43.812819, -79.529321)"
Colossus Greek Taverna,Greek;Seafood;Salads,"(43.560763, -79.576108)"
Congee Queen 皇后名粥 (Dundas & Hwy 427),Chinese;Asian;Asian Fusion,"(43.6209004, -79.57254789999999)"
Congee Town 太皇名粥,Chinese;Asian;Asian Fusion,"(43.8092547, -79.2696046)"
Congo Coffee & Mikate House,Coffee & Tea;Breakfast and Brunch;American,"(43.6573431, -79.38100779999999)"
Convenience 24/7,Grocery;Comfort Food;Desserts,"(43.6561089, -79.3901691)"
Copper Branch (Thornhill),Vegetarian;Vegan;Healthy;Allergy Friendly,"(43.8105234, -79.45416399999999)"
Costa Verde BBQ Chicken,Portuguese;BBQ,"(43.727189, -79.482481)"
Cravins,Caribbean;Seafood;Chicken,"(43.820529, -79.351261)"
Crepe Delicious,Breakfast and Brunch;American;Sandwiches,"(43.5713426, -79.6083555)"
Cumin Fine Indian Kitchen,Indian;Indian Curry;Asian,"(43.6846953, -79.3184395)"
Cyprus Salads Co.*,Middle Eastern;Mediterranean;Salads;Healthy;Vegetarian Friendly;Halal,"(43.6923182, -79.4409185)"
D Spot Dessert (Etobicoke),Desserts;Cafe,"(43.6232196, -79.5173811)"
D'Pavilion,Caribbean;Asian Fusion,"(43.757705, -79.235766)"
DASONI,Korean;Asian;BBQ,"(43.682309, -79.42383)"
Dagu Rice Noodle (Downtown),Asian;Chinese;Noodles,"(43.6553881, -79.3841673)"
Dagu Rice Noodle (Mississauga),Chinese;Asian;Street Food,"(43.5675344, -79.6605605)"
Dairy Queen ( 831-A The Queensway),Desserts,"(43.6244758, -79.5085173)"
Dairy Queen (4100 Highway # 7),Ice Cream & Frozen Yogurt;Comfort Food;Desserts,"(43.787369, -79.55946899999999)"
